Max Bits,C1 Bits,C2 Bits,FC1 Bits,FC2 Bits,FC3 Bits,Overall,Plane,Car,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
100000,1,3,1,3,3,38.420,51.200,36.500,2.500,13.700,31.500,55.700,54.200,41.900,27.400,69.400
100000,1,3,1,3,4,39.860,39.700,55.600,15.000,11.300,58.200,39.200,55.100,40.900,73.800,11.600
100000,1,3,1,3,5,38.980,50.900,69.800,7.100,7.500,26.100,52.200,65.700,51.700,31.200,27.800
100000,1,3,1,3,6,39.150,39.900,53.800,28.400,13.400,4.800,47.400,47.400,53.600,51.200,52.500
100000,1,3,1,3,7,39.570,44.700,44.800,13.100,24.200,27.100,64.800,45.000,31.500,42.900,56.500
100000,1,3,1,3,8,38.700,22.400,41.600,34.900,18.900,17.400,22.300,54.500,53.000,69.800,52.300
100000,1,3,1,4,1,24.640,0.500,6.300,0.700,0.300,0.300,10.000,54.000,80.000,41.500,52.400
100000,1,3,1,4,2,28.870,50.400,8.200,33.600,57.200,8.300,3.000,0.200,33.600,34.600,58.600
100000,1,4,1,1,1,18.220,0.000,0.000,0.000,0.000,0.000,0.100,72.700,0.000,28.200,81.400
100000,1,4,1,1,2,24.840,9.400,45.900,6.900,57.800,1.700,7.300,20.400,37.800,42.100,17.800
100000,1,4,1,1,3,24.260,1.000,4.600,24.600,3.800,5.100,16.000,20.200,54.100,34.500,78.400
100000,1,4,1,1,4,22.880,12.800,0.000,0.200,0.100,0.000,72.100,14.100,9.800,56.400,62.100
100000,1,4,1,1,5,28.560,61.300,71.700,10.300,49.700,20.900,20.600,38.500,2.600,6.600,3.000
100000,1,4,1,1,6,34.360,18.300,84.300,5.700,17.000,30.800,71.400,29.600,31.600,46.800,7.300
100000,1,4,1,1,7,35.320,73.200,44.900,6.100,26.100,30.700,43.600,53.400,40.500,6.600,28.400
100000,1,4,1,1,8,37.970,22.500,24.000,20.300,43.000,36.200,0.100,59.800,59.300,50.700,64.400
100000,1,4,1,2,1,22.670,2.900,7.000,0.100,5.200,0.900,5.100,80.400,38.100,70.400,17.100
100000,1,4,1,2,2,28.390,7.500,16.100,7.400,17.000,39.700,0.600,38.600,15.600,67.800,71.500
100000,1,4,1,2,3,34.210,15.500,37.400,10.900,45.000,19.600,38.700,28.000,33.200,63.800,51.100
100000,1,4,1,2,4,38.180,24.500,40.800,29.900,9.300,10.900,52.100,59.200,56.500,74.000,24.800
100000,1,4,1,2,5,38.140,40.300,36.800,17.000,23.900,10.900,24.600,56.100,68.100,61.300,41.700
100000,1,4,1,2,6,37.690,44.000,37.100,23.500,24.000,14.600,25.200,53.700,58.200,48.000,47.700
100000,1,4,1,2,7,39.340,42.000,12.600,16.800,15.300,29.300,52.900,50.700,52.400,46.000,74.500
100000,1,4,1,2,8,38.280,36.700,83.200,20.800,27.000,11.600,46.100,65.000,42.900,46.100,2.500
100000,1,4,1,3,1,20.580,29.200,23.600,1.900,5.900,0.500,1.200,20.600,49.100,7.900,64.800
100000,1,4,1,3,2,31.540,13.900,8.700,6.600,46.000,32.400,13.200,29.600,59.200,37.600,68.100
100000,1,4,1,3,3,34.500,27.600,35.500,32.100,37.200,4.900,53.200,45.700,24.300,46.500,37.800
